;Participant;Latency;Difficulty;MT in ms;SD
3415;25;-16.67;35.5;213.3333333;109.2764079
3416;25;0;2.960784314;49.33333333;16.77299417
3417;25;0;3.355555556;82;19.05255888
3418;25;0;3.82278481;71;45.50824101
3419;25;0;4.441176471;72;37.2424489
3420;25;0;5.298245614;49.66666667;17.92577288
3421;25;0;5.911764706;112;86.60831369
3422;25;0;6.7;121.3333333;30.00555504
3423;25;0;6.711111111;69.66666667;19.34769581
3424;25;0;7.632911392;101;17.34935157
3425;25;0;8.867647059;128;30.5122926
3426;25;0;8.87254902;117.6666667;29.26317367
3427;25;0;8.882352941;82.33333333;35.2325607
3428;25;0;10.05555556;126.3333333;30.92463958
3429;25;0;10.57894737;180.3333333;107.1276497
3430;25;0;11.4556962;174;10.44030651
3431;25;0;11.83333333;151.3333333;30.022214
3432;25;0;13.30882353;191.3333333;33.20140559
3433;25;0;13.4;121;30
3434;25;0;13.41111111;243.3333333;162.1491083
3435;25;0;15.27848101;203.3333333;77.16432682
3436;25;0;15.87719298;348.6666667;278.1911813
3437;25;0;17.73529412;110.3333333;94.81736831
3438;25;0;17.75;324.3333333;45.28060659
3439;25;0;20.11111111;100;46.80811895
3440;25;0;21.1754386;501;559.1100071
3441;25;0;26.61764706;141.6666667;138.85364
3442;25;0;26.82222222;182;79.56758134
3443;25;0;35.5;260.6666667;143.646557
3444;25;16.67;2.960784314;95.33333333;15.30795
3445;25;16.67;3.355555556;116;55.56077753
3446;25;16.67;3.82278481;57.33333333;28.57154762
3447;25;16.67;4.441176471;68.66666667;15.14375559
3448;25;16.67;5.298245614;299.3333333;394.7864402
3449;25;16.67;5.911764706;161.3333333;36.2950869
3450;25;16.67;6.7;159.3333333;17.50238079
3451;25;16.67;6.711111111;324.3333333;179.2382028
3452;25;16.67;7.632911392;150.3333333;51.6752681
3453;25;16.67;8.867647059;612.3333333;523.0165708
3454;25;16.67;8.87254902;242;108.1295519
3455;25;16.67;8.882352941;80.66666667;16.19670748
3456;25;16.67;10.05555556;208.3333333;29.39954648
3457;25;16.67;10.57894737;125;62.38589584
3458;25;16.67;11.4556962;166.6666667;36.14323358
3459;25;16.67;11.83333333;729.6666667;271.6879337
3460;25;16.67;13.30882353;397;337.4448103
3461;25;16.67;13.4;655.3333333;648.9817666
3462;25;16.67;13.41111111;347.6666667;43.84442192
3463;25;16.67;15.27848101;742.3333333;391.2854883
3464;25;16.67;15.87719298;472.3333333;509.8473628
3465;25;16.67;17.73529412;249.3333333;166.0642446
3466;25;16.67;17.75;483.6666667;409.1556346
3467;25;16.67;20.11111111;217.3333333;68.53709458
3468;25;16.67;21.1754386;358;123.9637044
3469;25;16.67;26.61764706;582.6666667;485.1652639
3470;25;16.67;26.82222222;342.6666667;111.2534644
3471;25;16.67;35.5;168.6666667;24.21432083
3472;25;50;2.960784314;90.66666667;53.11622477
3473;25;50;3.355555556;75.66666667;13.65039682
3474;25;50;3.82278481;49;17.43559577
3475;25;50;4.441176471;166;75.97367965
3476;25;50;5.298245614;126.6666667;93.22195736
3477;25;50;5.911764706;117;30.8058436
3478;25;50;6.7;227.3333333;189.3946497
3479;25;50;6.711111111;120.6666667;28.5365263
3480;25;50;7.632911392;356.3333333;203.3871513
3481;25;50;8.867647059;139.3333333;47.89919971
3482;25;50;8.87254902;333.6666667;327.550505
3483;25;50;8.882352941;136.3333333;131.3481379
3484;25;50;10.05555556;466.6666667;577.0479472
3485;25;50;10.57894737;117.6666667;32.86842456
3486;25;50;11.4556962;220.3333333;17.09775814
3487;25;50;11.83333333;314.3333333;286.2102956
3488;25;50;13.30882353;268;70.1925922
3489;25;50;13.4;150.6666667;60.00277771
3490;25;50;13.41111111;475.3333333;141.7368454
3491;25;50;15.27848101;461.6666667;70.21633238
3492;25;50;15.87719298;316.6666667;148.6651719
3493;25;50;17.73529412;100.3333333;16.19670748
3494;25;50;17.75;456;251.7280278
3495;25;50;20.11111111;339;239.3574732
3496;25;50;21.1754386;431.6666667;170.8956797
3497;25;50;26.61764706;873.6666667;1061.186757
3498;25;50;26.82222222;282;62.55397669
3499;25;50;35.5;151.3333333;131.4584852
3500;26;-50;2.960784314;501.3333333;320.2519841
3501;26;-50;3.355555556;801.3333333;170.1773585
3502;26;-50;3.82278481;826;673.8152566
3503;26;-50;4.441176471;269;234.5271839
3504;26;-50;5.298245614;674.6666667;238.1792042
3505;26;-50;5.911764706;181.6666667;79.95206897
3506;26;-50;6.7;141.3333333;92.54368338
3507;26;-50;6.711111111;372.3333333;244.328331
3508;26;-50;7.632911392;1179;662.9238267
3509;26;-50;8.867647059;1111.666667;591.4738653
3510;26;-50;8.87254902;1437.666667;655.5984543
3511;26;-50;8.882352941;681;379.7222669
3512;26;-50;10.05555556;1703;1318.240873
3513;26;-50;10.57894737;400.3333333;155.500268
3514;26;-50;11.4556962;1695.666667;450.6931698
3515;26;-50;11.83333333;1944.333333;651.317383
3516;26;-50;13.30882353;1401;420.0892762
3517;26;-50;13.4;1598.333333;1573.690673
3518;26;-50;13.41111111;1966.666667;1891.226145
3519;26;-50;15.27848101;2910;2361.982007
3520;26;-50;15.87719298;1334;1047.360015
3521;26;-50;17.73529412;1701;1427.726865
3522;26;-50;17.75;1399.333333;510.0532652
3523;26;-50;20.11111111;1520;1437.471043
3524;26;-50;21.1754386;1426.666667;128.4730841
3525;26;-50;26.61764706;5181.666667;1765.002361
3526;26;-50;26.82222222;2657;715.8847673
3527;26;-50;35.5;2978;1505.965471
3528;26;-16.67;2.960784314;214.6666667;247.5021885
3529;26;-16.67;3.355555556;540.6666667;733.711342
3530;26;-16.67;3.82278481;370.6666667;248.922344
3531;26;-16.67;4.441176471;193;76.89603371
